ln_km		0.241***	0.225***		0.242***	0.225***		0.247***	0.225***		0.247***	0.225***		0.241***	0.225***		0.242***	0.225***		0.247***	0.225***		0.247***	0.225***		0.239***	0.222***		0.240***	0.222***		0.245***	0.222***		0.245***	0.222***		0.239***	0.222***		0.240***	0.222***		0.245***	0.222***		0.245***	0.222***		0.239***	0.222***		0.240***	0.222***		0.245***	0.222***		0.245***	0.222***		0.239***	0.222***		0.240***	0.222***		0.245***	0.222***		0.245***	0.222***		0.239***	0.222***		0.240***	0.222***		0.245***	0.222***		0.245***	0.222***		0.239***	0.222***		0.240***	0.222***		0.245***	0.222***		0.245***	0.222***		0.239***	0.222***		0.240***	0.222***		0.245***	0.222***		0.245***	0.222***		0.239***	0.222***		0.240***	0.222***		0.245***	0.222***		0.245***	0.222***		0.239***	0.222***		0.240***	0.222***		0.245***	0.222***		0.245***	0.222***		0.239***	0.222***		0.240***	0.222***		0.245***	0.222***		0.245***	0.222***		0.239***	0.222***		0.240***	0.222***		0.245***	0.222***		0.245***	0.222***		0.239***	0.222***		0.240***	0.222***		0.245***	0.222***		0.245***	0.222***		0.239***	0.222***		0.240***	0.222***		0.245***	0.222***		0.245***	0.222***		0.239***	0.222***		0.240***	0.222***		0.245***	0.222***		0.245***	0.222***		0.239***	0.222***		0.240***	0.222***		0.245***	0.222***		0.245***	0.222***	0	0.239***	0.222***	0	0.240***	0.222***	0	0.245***	0.222***	0	0.245***	0.222***		0.239***	0.222***		0.240***	0.222***		0.245***	0.222***		0.245***	0.222***		0.239***	0.222***		0.240***	0.222***		0.245***	0.222***		0.245***	0.222***		0.239***	0.222***		0.240***	0.222***		0.245***	0.222***		0.245***	0.222***		0.239***	0.222***		0.240***	0.222***		0.245***	0.222***		0.245***	0.222***		0.239***	0.222***		0.240***	0.222***		0.245***	0.222***		0.245***	0.222***		0.239***	0.222***		0.240***	0.222***		0.245***	0.222***		0.245***	0.222***
cntb	0.00866*	0.0115**	0.0112	0.00909*	0.0120**	0.0119	0.00823	0.0110**	0.0105	0.00843*	0.0113**	0.0105	0.00866*	0.0115**	0.0112	0.00909*	0.0120**	0.0119	0.00823	0.0110**	0.0105	0.00843*	0.0113**	0.0105	0.00846	0.0118**	0.0127	0.00885*	0.0122**	0.0132	0.00803	0.0113**	0.0119	0.00822	0.0115**	0.0119	0.00846	0.0118**	0.0127	0.00885*	0.0122**	0.0132	0.00803	0.0113**	0.0119	0.00822	0.0115**	0.0119	0.00846	0.0118**	0.0127	0.00885*	0.0122**	0.0132	0.00803	0.0113**	0.0119	0.00822	0.0115**	0.0119	0.00846	0.0118**	0.0127	0.00885*	0.0122**	0.0132	0.00803	0.0113**	0.0119	0.00822	0.0115**	0.0119	0.00846	0.0118**	0.0127	0.00885*	0.0122**	0.0132	0.00803	0.0113**	0.0119	0.00822	0.0115**	0.0119	0.00846	0.0118**	0.0127	0.00885*	0.0122**	0.0132	0.00803	0.0113**	0.0119	0.00822	0.0115**	0.0119	0.00846	0.0118**	0.0127	0.00885*	0.0122**	0.0132	0.00803	0.0113**	0.0119	0.00822	0.0115**	0.0119	0.00846	0.0118**	0.0127	0.00885*	0.0122**	0.0132	0.00803	0.0113**	0.0119	0.00822	0.0115**	0.0119	0.00846	0.0118**	0.0127	0.00885*	0.0122**	0.0132	0.00803	0.0113**	0.0119	0.00822	0.0115**	0.0119	0.00846	0.0118**	0.0127	0.00885*	0.0122**	0.0132	0.00803	0.0113**	0.0119	0.00822	0.0115**	0.0119	0.00846	0.0118**	0.0127	0.00885*	0.0122**	0.0132	0.00803	0.0113**	0.0119	0.00822	0.0115**	0.0119	0.00846	0.0118**	0.0127	0.00885*	0.0122**	0.0132	0.00803	0.0113**	0.0119	0.00822	0.0115**	0.0119	0.00846	0.0118**	0.0127	0.00885*	0.0122**	0.0132	0.00803	0.0113**	0.0119	0.00822	0.0115**	0.0119	0.00846	0.0118**	0.0127	0.00885*	0.0122**	0.0132	0.00803	0.0113**	0.0119	0.00822	0.0115**	0.0119	0.00846	0.0118**	0.0127	0.00885*	0.0122**	0.0132	0.00803	0.0113**	0.0119	0.00822	0.0115**	0.0119	0.00846	0.0118**	0.0127	0.00885*	0.0122**	0.0132	0.00803	0.0113**	0.0119	0.00822	0.0115**	0.0119	0.00846	0.0118**	0.0127	0.00885*	0.0122**	0.0132	0.00803	0.0113**	0.0119	0.00822	0.0115**	0.0119	0.00846	0.0118**	0.0127	0.00885*	0.0122**	0.0132	0.00803	0.0113**	0.0119	0.00822	0.0115**	0.0119	0.00846	0.0118**	0.0127	0.00885*	0.0122**	0.0132	0.00803	0.0113**	0.0119	0.00822	0.0115**	0.0119	0.00846	0.0118**	0.0127	0.00885*	0.0122**	0.0132	0.00803	0.0113**	0.0119	0.00822	0.0115**	0.0119	0.00846	0.0118**	0.0127	0.00885*	0.0122**	0.0132	0.00803	0.0113**	0.0119	0.00822	0.0115**	0.0119	0.00846	0.0118**	0.0127	0.00885*	0.0122**	0.0132	0.00803	0.0113**	0.0119	0.00822	0.0115**	0.0119
	(0.00506)	(0.00518)	(0.0113)	(0.00506)	(0.00518)	(0.0113)	(0.00505)	(0.00518)	(0.0113)	(0.00505)	(0.00516)	(0.0113)	(0.00506)	(0.00518)	(0.0113)	(0.00506)	(0.00518)	(0.0113)	(0.00505)	(0.00518)	(0.0113)	(0.00505)	(0.00516)	(0.0113)	(0.00517)	(0.00530)	(0.0113)	(0.00517)	(0.00530)	(0.0113)	(0.00516)	(0.00530)	(0.0113)	(0.00516)	(0.00528)	(0.0113)	(0.00517)	(0.00530)	(0.0113)	(0.00517)	(0.00530)	(0.0113)	(0.00516)	(0.00530)	(0.0113)	(0.00516)	(0.00528)	(0.0113)	(0.00517)	(0.00530)	(0.0113)	(0.00517)	(0.00530)	(0.0113)	(0.00516)	(0.00530)	(0.0113)	(0.00516)	(0.00528)	(0.0113)	(0.00517)	(0.00530)	(0.0113)	(0.00517)	(0.00530)	(0.0113)	(0.00516)	(0.00530)	(0.0113)	(0.00516)	(0.00528)	(0.0113)	(0.00517)	(0.00530)	(0.0113)	(0.00517)	(0.00530)	(0.0113)	(0.00516)	(0.00530)	(0.0113)	(0.00516)	(0.00528)	(0.0113)	(0.00517)	(0.00530)	(0.0113)	(0.00517)	(0.00530)	(0.0113)	(0.00516)	(0.00530)	(0.0113)	(0.00516)	(0.00528)	(0.0113)	(0.00517)	(0.00530)	(0.0113)	(0.00517)	(0.00530)	(0.0113)	(0.00516)	(0.00530)	(0.0113)	(0.00516)	(0.00528)	(0.0113)	(0.00517)	(0.00530)	(0.0113)	(0.00517)	(0.00530)	(0.0113)	(0.00516)	(0.00530)	(0.0113)	(0.00516)	(0.00528)	(0.0113)	(0.00517)	(0.00530)	(0.0113)	(0.00517)	(0.00530)	(0.0113)	(0.00516)	(0.00530)	(0.0113)	(0.00516)	(0.00528)	(0.0113)	(0.00517)	(0.00530)	(0.0113)	(0.00517)	(0.00530)	(0.0113)	(0.00516)	(0.00530)	(0.0113)	(0.00516)	(0.00528)	(0.0113)	(0.00517)	(0.00530)	(0.0113)	(0.00517)	(0.00530)	(0.0113)	(0.00516)	(0.00530)	(0.0113)	(0.00516)	(0.00528)	(0.0113)	(0.00517)	(0.00530)	(0.0113)	(0.00517)	(0.00530)	(0.0113)	(0.00516)	(0.00530)	(0.0113)	(0.00516)	(0.00528)	(0.0113)	(0.00517)	(0.00530)	(0.0113)	(0.00517)	(0.00530)	(0.0113)	(0.00516)	(0.00530)	(0.0113)	(0.00516)	(0.00528)	(0.0113)	(0.00517)	(0.00530)	(0.0113)	(0.00517)	(0.00530)	(0.0113)	(0.00516)	(0.00530)	(0.0113)	(0.00516)	(0.00528)	(0.0113)	(0.00517)	(0.00530)	(0.0113)	(0.00517)	(0.00530)	(0.0113)	(0.00516)	(0.00530)	(0.0113)	(0.00516)	(0.00528)	(0.0113)	(0.00517)	(0.00530)	(0.0113)	(0.00517)	(0.00530)	(0.0113)	(0.00516)	(0.00530)	(0.0113)	(0.00516)	(0.00528)	(0.0113)	(0.00517)	(0.00530)	(0.0113)	(0.00517)	(0.00530)	(0.0113)	(0.00516)	(0.00530)	(0.0113)	(0.00516)	(0.00528)	(0.0113)	(0.00517)	(0.00530)	(0.0113)	(0.00517)	(0.00530)	(0.0113)	(0.00516)	(0.00530)	(0.0113)	(0.00516)	(0.00528)	(0.0113)	(0.00517)	(0.00530)	(0.0113)	(0.00517)	(0.00530)	(0.0113)	(0.00516)	(0.00530)	(0.0113)	(0.00516)	(0.00528)	(0.0113)	(0.00517)	(0.00530)	(0.0113)	(0.00517)	(0.00530)	(0.0113)	(0.00516)	(0.00530)	(0.0113)	(0.00516)	(0.00528)	(0.0113)	(0.00517)	(0.00530)	(0.0113)	(0.00517)	(0.00530)	(0.0113)	(0.00516)	(0.00530)	(0.0113)	(0.00516)	(0.00528)	(0.0113)	(0.00517)	(0.00530)	(0.0113)	(0.00517)	(0.00530)	(0.0113)	(0.00516)	(0.00530)	(0.0113)	(0.00516)	(0.00528)	(0.0113)
ln_t_savg_ahs	-0.00973**	0.0263***	-0.000372										-0.00973**	0.0263***	-0.000372										-0.0106***	0.0275***	-0.00162										-0.0106***	0.0275***	-0.00162										-0.0106***	0.0275***	-0.00162										-0.0106***	0.0275***	-0.00162										-0.0106***	0.0275***	-0.00162										-0.0106***	0.0275***	-0.00162										-0.0106***	0.0275***	-0.00162										-0.0106***	0.0275***	-0.00162										-0.0106***	0.0275***	-0.00162										-0.0106***	0.0275***	-0.00162										-0.0106***	0.0275***	-0.00162										-0.0106***	0.0275***	-0.00162										-0.0106***	0.0275***	-0.00162										-0.0106***	0.0275***	-0.00162										-0.0106***	0.0275***	-0.00162										-0.0106***	0.0275***	-0.00162										-0.0106***	0.0275***	-0.00162										-0.0106***	0.0275***	-0.00162										-0.0106***	0.0275***	-0.00162										-0.0106***	0.0275***	-0.00162										-0.0106***	0.0275***	-0.00162										-0.0106***	0.0275***	-0.00162									
	(0.00383)	(0.00343)	(0.00725)										(0.00383)	(0.00343)	(0.00725)										(0.00391)	(0.00348)	(0.00721)										(0.00391)	(0.00348)	(0.00721)										(0.00391)	(0.00348)	(0.00721)										(0.00391)	(0.00348)	(0.00721)										(0.00391)	(0.00348)	(0.00721)										(0.00391)	(0.00348)	(0.00721)										(0.00391)	(0.00348)	(0.00721)										(0.00391)	(0.00348)	(0.00721)										(0.00391)	(0.00348)	(0.00721)										(0.00391)	(0.00348)	(0.00721)										(0.00391)	(0.00348)	(0.00721)										(0.00391)	(0.00348)	(0.00721)										(0.00391)	(0.00348)	(0.00721)										(0.00391)	(0.00348)	(0.00721)										(0.00391)	(0.00348)	(0.00721)										(0.00391)	(0.00348)	(0.00721)										(0.00391)	(0.00348)	(0.00721)										(0.00391)	(0.00348)	(0.00721)										(0.00391)	(0.00348)	(0.00721)										(0.00391)	(0.00348)	(0.00721)										(0.00391)	(0.00348)	(0.00721)										(0.00391)	(0.00348)	(0.00721)									
ln_t_iwahs				0.00160	0.0241***	0.0101*										0.00160	0.0241***	0.0101*										0.000249	0.0242***	0.00787										0.000249	0.0242***	0.00787										0.000249	0.0242***	0.00787										0.000249	0.0242***	0.00787										0.000249	0.0242***	0.00787										0.000249	0.0242***	0.00787										0.000249	0.0242***	0.00787										0.000249	0.0242***	0.00787										0.000249	0.0242***	0.00787										0.000249	0.0242***	0.00787										0.000249	0.0242***	0.00787										0.000249	0.0242***	0.00787										0.000249	0.0242***	0.00787										0.000249	0.0242***	0.00787										0.000249	0.0242***	0.00787										0.000249	0.0242***	0.00787										0.000249	0.0242***	0.00787										0.000249	0.0242***	0.00787										0.000249	0.0242***	0.00787										0.000249	0.0242***	0.00787										0.000249	0.0242***	0.00787										0.000249	0.0242***	0.00787						
				(0.00303)	(0.00285)	(0.00546)										(0.00303)	(0.00285)	(0.00546)										(0.00309)	(0.00289)	(0.00543)										(0.00309)	(0.00289)	(0.00543)										(0.00309)	(0.00289)	(0.00543)										(0.00309)	(0.00289)	(0.00543)										(0.00309)	(0.00289)	(0.00543)										(0.00309)	(0.00289)	(0.00543)										(0.00309)	(0.00289)	(0.00543)										(0.00309)	(0.00289)	(0.00543)										(0.00309)	(0.00289)	(0.00543)										(0.00309)	(0.00289)	(0.00543)										(0.00309)	(0.00289)	(0.00543)										(0.00309)	(0.00289)	(0.00543)										(0.00309)	(0.00289)	(0.00543)										(0.00309)	(0.00289)	(0.00543)										(0.00309)	(0.00289)	(0.00543)										(0.00309)	(0.00289)	(0.00543)										(0.00309)	(0.00289)	(0.00543)										(0.00309)	(0.00289)	(0.00543)										(0.00309)	(0.00289)	(0.00543)										(0.00309)	(0.00289)	(0.00543)										(0.00309)	(0.00289)	(0.00543)										(0.00309)	(0.00289)	(0.00543)						
ln_t_iwmfn							-0.0185***	0.00921**	-0.0192***										-0.0185***	0.00921**	-0.0192***										-0.0197***	0.0101***	-0.0200***										-0.0197***	0.0101***	-0.0200***										-0.0197***	0.0101***	-0.0200***										-0.0197***	0.0101***	-0.0200***										-0.0197***	0.0101***	-0.0200***										-0.0197***	0.0101***	-0.0200***										-0.0197***	0.0101***	-0.0200***										-0.0197***	0.0101***	-0.0200***										-0.0197***	0.0101***	-0.0200***										-0.0197***	0.0101***	-0.0200***										-0.0197***	0.0101***	-0.0200***										-0.0197***	0.0101***	-0.0200***										-0.0197***	0.0101***	-0.0200***										-0.0197***	0.0101***	-0.0200***										-0.0197***	0.0101***	-0.0200***										-0.0197***	0.0101***	-0.0200***										-0.0197***	0.0101***	-0.0200***										-0.0197***	0.0101***	-0.0200***										-0.0197***	0.0101***	-0.0200***										-0.0197***	0.0101***	-0.0200***										-0.0197***	0.0101***	-0.0200***										-0.0197***	0.0101***	-0.0200***			
							(0.00379)	(0.00360)	(0.00709)										(0.00379)	(0.00360)	(0.00709)										(0.00387)	(0.00366)	(0.00703)										(0.00387)	(0.00366)	(0.00703)										(0.00387)	(0.00366)	(0.00703)										(0.00387)	(0.00366)	(0.00703)										(0.00387)	(0.00366)	(0.00703)										(0.00387)	(0.00366)	(0.00703)										(0.00387)	(0.00366)	(0.00703)										(0.00387)	(0.00366)	(0.00703)										(0.00387)	(0.00366)	(0.00703)										(0.00387)	(0.00366)	(0.00703)										(0.00387)	(0.00366)	(0.00703)										(0.00387)	(0.00366)	(0.00703)										(0.00387)	(0.00366)	(0.00703)										(0.00387)	(0.00366)	(0.00703)										(0.00387)	(0.00366)	(0.00703)										(0.00387)	(0.00366)	(0.00703)										(0.00387)	(0.00366)	(0.00703)										(0.00387)	(0.00366)	(0.00703)										(0.00387)	(0.00366)	(0.00703)										(0.00387)	(0.00366)	(0.00703)										(0.00387)	(0.00366)	(0.00703)										(0.00387)	(0.00366)	(0.00703)			
ln_t_savg_mfn										-0.0137***	0.0165***	-0.0186**										-0.0137***	0.0165***	-0.0186**										-0.0150***	0.0176***	-0.0200***										-0.0150***	0.0176***	-0.0200***										-0.0150***	0.0176***	-0.0200***										-0.0150***	0.0176***	-0.0200***										-0.0150***	0.0176***	-0.0200***										-0.0150***	0.0176***	-0.0200***										-0.0150***	0.0176***	-0.0200***										-0.0150***	0.0176***	-0.0200***										-0.0150***	0.0176***	-0.0200***										-0.0150***	0.0176***	-0.0200***										-0.0150***	0.0176***	-0.0200***										-0.0150***	0.0176***	-0.0200***										-0.0150***	0.0176***	-0.0200***										-0.0150***	0.0176***	-0.0200***										-0.0150***	0.0176***	-0.0200***										-0.0150***	0.0176***	-0.0200***										-0.0150***	0.0176***	-0.0200***										-0.0150***	0.0176***	-0.0200***										-0.0150***	0.0176***	-0.0200***										-0.0150***	0.0176***	-0.0200***										-0.0150***	0.0176***	-0.0200***										-0.0150***	0.0176***	-0.0200***
										(0.00404)	(0.00371)	(0.00759)										(0.00404)	(0.00371)	(0.00759)										(0.00412)	(0.00377)	(0.00752)										(0.00412)	(0.00377)	(0.00752)										(0.00412)	(0.00377)	(0.00752)										(0.00412)	(0.00377)	(0.00752)										(0.00412)	(0.00377)	(0.00752)										(0.00412)	(0.00377)	(0.00752)										(0.00412)	(0.00377)	(0.00752)										(0.00412)	(0.00377)	(0.00752)										(0.00412)	(0.00377)	(0.00752)										(0.00412)	(0.00377)	(0.00752)										(0.00412)	(0.00377)	(0.00752)										(0.00412)	(0.00377)	(0.00752)										(0.00412)	(0.00377)	(0.00752)										(0.00412)	(0.00377)	(0.00752)										(0.00412)	(0.00377)	(0.00752)										(0.00412)	(0.00377)	(0.00752)										(0.00412)	(0.00377)	(0.00752)										(0.00412)	(0.00377)	(0.00752)										(0.00412)	(0.00377)	(0.00752)										(0.00412)	(0.00377)	(0.00752)										(0.00412)	(0.00377)	(0.00752)										(0.00412)	(0.00377)	(0.00752)
Constant	0.980***	-1.031***	0.302	0.938***	-1.025***	0.256	1.021***	-1.012***	0.384	1.002***	-1.037***	0.380	0.980***	-1.031***	0.302	0.938***	-1.025***	0.256	1.021***	-1.012***	0.384	1.002***	-1.037***	0.380	0.932***	-1.097***	-0.216	0.891***	-1.089***	-0.272	0.975***	-1.078***	-0.104	0.957***	-1.104***	-0.0999	0.932***	-1.097***	-0.216	0.891***	-1.089***	-0.272	0.975***	-1.078***	-0.104	0.957***	-1.104***	-0.0999	0.932***	-1.097***	-0.216	0.891***	-1.089***	-0.272	0.975***	-1.078***	-0.104	0.957***	-1.104***	-0.0999	0.932***	-1.097***	-0.216	0.891***	-1.089***	-0.272	0.975***	-1.078***	-0.104	0.957***	-1.104***	-0.0999	0.932***	-1.097***	-0.216	0.891***	-1.089***	-0.272	0.975***	-1.078***	-0.104	0.957***	-1.104***	-0.0999	0.932***	-1.097***	-0.216	0.891***	-1.089***	-0.272	0.975***	-1.078***	-0.104	0.957***	-1.104***	-0.0999	0.932***	-1.097***	-0.216	0.891***	-1.089***	-0.272	0.975***	-1.078***	-0.104	0.957***	-1.104***	-0.0999	0.932***	-1.097***	-0.216	0.891***	-1.089***	-0.272	0.975***	-1.078***	-0.104	0.957***	-1.104***	-0.0999	0.932***	-1.097***	-0.216	0.891***	-1.089***	-0.272	0.975***	-1.078***	-0.104	0.957***	-1.104***	-0.0999	0.932***	-1.097***	-0.216	0.891***	-1.089***	-0.272	0.975***	-1.078***	-0.104	0.957***	-1.104***	-0.0999	0.932***	-1.097***	-0.216	0.891***	-1.089***	-0.272	0.975***	-1.078***	-0.104	0.957***	-1.104***	-0.0999	0.932***	-1.097***	-0.216	0.891***	-1.089***	-0.272	0.975***	-1.078***	-0.104	0.957***	-1.104***	-0.0999	0.932***	-1.097***	-0.216	0.891***	-1.089***	-0.272	0.975***	-1.078***	-0.104	0.957***	-1.104***	-0.0999	0.932***	-1.097***	-0.216	0.891***	-1.089***	-0.272	0.975***	-1.078***	-0.104	0.957***	-1.104***	-0.0999	0.932***	-1.097***	-0.216	0.891***	-1.089***	-0.272	0.975***	-1.078***	-0.104	0.957***	-1.104***	-0.0999	0.923***	-1.097***	-0.166	0.881***	-1.140***	-0.230	0.967***	-1.078***	-0.0404	0.941***	-1.168***	-0.0383	0.932***	-1.097***	-0.216	0.891***	-1.089***	-0.272	0.975***	-1.078***	-0.104	0.957***	-1.104***	-0.0999	0.932***	-1.097***	-0.216	0.891***	-1.089***	-0.272	0.975***	-1.078***	-0.104	0.957***	-1.104***	-0.0999	0.932***	-1.097***	-0.216	0.891***	-1.089***	-0.272	0.975***	-1.078***	-0.104	0.957***	-1.104***	-0.0999	0.932***	-1.097***	-0.166	0.891***	-1.089***	-0.230	0.975***	-1.078***	-0.0404	0.957***	-1.104***	-0.0383	0.932***	-1.097***	-0.216	0.891***	-1.089***	-0.272	0.975***	-1.078***	-0.104	0.957***	-1.104***	-0.0999	0.932***	-1.097***	-0.216	0.891***	-1.089***	-0.272	0.975***	-1.078***	-0.104	0.957***	-1.104***	-0.0999
	(0.0181)	(0.0857)	(0.271)	(0.0152)	(0.0854)	(0.268)	(0.0194)	(0.0871)	(0.270)	(0.0205)	(0.0873)	(0.271)	(0.0181)	(0.0857)	(0.271)	(0.0152)	(0.0854)	(0.268)	(0.0194)	(0.0871)	(0.270)	(0.0205)	(0.0873)	(0.271)	(0.0185)	(0.0858)	(0.210)	(0.0156)	(0.0855)	(0.207)	(0.0198)	(0.0871)	(0.209)	(0.0210)	(0.0874)	(0.213)	(0.0185)	(0.0858)	(0.210)	(0.0156)	(0.0855)	(0.207)	(0.0198)	(0.0871)	(0.209)	(0.0210)	(0.0874)	(0.213)	(0.0185)	(0.0858)	(0.210)	(0.0156)	(0.0855)	(0.207)	(0.0198)	(0.0871)	(0.209)	(0.0210)	(0.0874)	(0.213)	(0.0185)	(0.0858)	(0.210)	(0.0156)	(0.0855)	(0.207)	(0.0198)	(0.0871)	(0.209)	(0.0210)	(0.0874)	(0.213)	(0.0185)	(0.0858)	(0.210)	(0.0156)	(0.0855)	(0.207)	(0.0198)	(0.0871)	(0.209)	(0.0210)	(0.0874)	(0.213)	(0.0185)	(0.0858)	(0.210)	(0.0156)	(0.0855)	(0.207)	(0.0198)	(0.0871)	(0.209)	(0.0210)	(0.0874)	(0.213)	(0.0185)	(0.0858)	(0.210)	(0.0156)	(0.0855)	(0.207)	(0.0198)	(0.0871)	(0.209)	(0.0210)	(0.0874)	(0.213)	(0.0185)	(0.0858)	(0.210)	(0.0156)	(0.0855)	(0.207)	(0.0198)	(0.0871)	(0.209)	(0.0210)	(0.0874)	(0.213)	(0.0185)	(0.0858)	(0.210)	(0.0156)	(0.0855)	(0.207)	(0.0198)	(0.0871)	(0.209)	(0.0210)	(0.0874)	(0.213)	(0.0185)	(0.0858)	(0.210)	(0.0156)	(0.0855)	(0.207)	(0.0198)	(0.0871)	(0.209)	(0.0210)	(0.0874)	(0.213)	(0.0185)	(0.0858)	(0.210)	(0.0156)	(0.0855)	(0.207)	(0.0198)	(0.0871)	(0.209)	(0.0210)	(0.0874)	(0.213)	(0.0185)	(0.0858)	(0.210)	(0.0156)	(0.0855)	(0.207)	(0.0198)	(0.0871)	(0.209)	(0.0210)	(0.0874)	(0.213)	(0.0185)	(0.0858)	(0.210)	(0.0156)	(0.0855)	(0.207)	(0.0198)	(0.0871)	(0.209)	(0.0210)	(0.0874)	(0.213)	(0.0185)	(0.0858)	(0.210)	(0.0156)	(0.0855)	(0.207)	(0.0198)	(0.0871)	(0.209)	(0.0210)	(0.0874)	(0.213)	(0.0185)	(0.0858)	(0.210)	(0.0156)	(0.0855)	(0.207)	(0.0198)	(0.0871)	(0.209)	(0.0210)	(0.0874)	(0.213)	(0.0391)	(0.0858)	(0.156)	(0.0380)	(0.0794)	(0.149)	(0.0397)	(0.0871)	(0.154)	(0.0396)	(0.0817)	(0.155)	(0.0185)	(0.0858)	(0.210)	(0.0156)	(0.0855)	(0.207)	(0.0198)	(0.0871)	(0.209)	(0.0210)	(0.0874)	(0.213)	(0.0185)	(0.0858)	(0.210)	(0.0156)	(0.0855)	(0.207)	(0.0198)	(0.0871)	(0.209)	(0.0210)	(0.0874)	(0.213)	(0.0185)	(0.0858)	(0.210)	(0.0156)	(0.0855)	(0.207)	(0.0198)	(0.0871)	(0.209)	(0.0210)	(0.0874)	(0.213)	(0.0185)	(0.0858)	(0.156)	(0.0156)	(0.0855)	(0.149)	(0.0198)	(0.0871)	(0.154)	(0.0210)	(0.0874)	(0.155)	(0.0185)	(0.0858)	(0.210)	(0.0156)	(0.0855)	(0.207)	(0.0198)	(0.0871)	(0.209)	(0.0210)	(0.0874)	(0.213)	(0.0185)	(0.0858)	(0.210)	(0.0156)	(0.0855)	(0.207)	(0.0198)	(0.0871)	(0.209)	(0.0210)	(0.0874)	(0.213)
																																																																																																																																																																																																																																																																																																
Observations	9,829	9,829	9,829	9,829	9,829	9,829	9,829	9,829	9,829	9,829	9,829	9,829	9,829	9,829	9,829	9,829	9,829	9,829	9,829	9,829	9,829	9,829	9,829	9,829	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905	9,905
R-squared	0.183		0.752	0.183		0.752	0.185		0.752	0.184		0.752	0.183		0.752	0.183		0.752	0.185		0.752	0.184		0.752	0.199		0.752	0.198		0.752	0.201		0.752	0.200		0.752	0.199		0.752	0.198		0.752	0.201		0.752	0.200		0.752	0.199		0.752	0.198		0.752	0.201		0.752	0.200		0.752	0.199		0.752	0.198		0.752	0.201		0.752	0.200		0.752	0.199		0.752	0.198		0.752	0.201		0.752	0.200		0.752	0.199		0.752	0.198		0.752	0.201		0.752	0.200		0.752	0.199		0.752	0.198		0.752	0.201		0.752	0.200		0.752	0.199		0.752	0.198		0.752	0.201		0.752	0.200		0.752	0.199		0.752	0.198		0.752	0.201		0.752	0.200		0.752	0.199		0.752	0.198		0.752	0.201		0.752	0.200		0.752	0.199		0.752	0.198		0.752	0.201		0.752	0.200		0.752	0.199		0.752	0.198		0.752	0.201		0.752	0.200		0.752	0.199		0.752	0.198		0.752	0.201		0.752	0.200		0.752	0.199		0.752	0.198		0.752	0.201		0.752	0.200		0.752	0.199		0.752	0.198		0.752	0.201		0.752	0.200		0.752	0.199		0.752	0.198		0.752	0.201		0.752	0.200		0.752	0.199		0.752	0.198		0.752	0.201		0.752	0.200		0.752	0.199		0.752	0.198		0.752	0.201		0.752	0.200		0.752	0.199		0.752	0.198		0.752	0.201		0.752	0.200		0.752	0.199		0.752	0.198		0.752	0.201		0.752	0.200		0.752	0.199		0.752	0.198		0.752	0.201		0.752	0.200		0.752	0.199		0.752	0.198		0.752	0.201		0.752	0.200		0.752
